City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,ndele,8.41,20.65,68.85,96,2,1.07,CF,1593565980
119,basco,20.45,121.97,84.27,82,100,13.58,PH,1593565977
120,ca mau,9.18,105.15,82.65,78,57,5.3,VN,1593565981
121,alfredo chaves,-20.64,-40.75,69.8,88,40,3.36,BR,1593565981
122,amontada,-3.36,-39.83,73.11,81,0,3.24,BR,1593565981
123,coro,11.4,-69.67,78.71,78,1,16.24,VE,1593565981
124,surt,31.21,16.59,71.69,74,0,1.5,LY,1593565981
125,saldanha,-33.01,17.94,53.6,76,0,8.08,ZA,1593565941
126,tomatlan,19.93,-105.25,83.62,65,83,6.89,MX,1593565981
127,bathsheba,13.22,-59.52,78.8,88,40,8.05,BB,1593565653
128,coahuayana,18.73,-103.68,80.6,74,75,17.22,MX,1593565916
129,saskylakh,71.92,114.08,83.21,34,99,10.33,RU,1593565908
130,pevek,69.7,170.31,36.45,88,100,12.41,RU,1593565935
131,leningradskiy,69.38,178.42,34.86,96,100,1.12,RU,1593565943
132,bonavista,48.65,-53.11,59.9,94,41,15.93,CA,1593565869
133,shimoda,34.67,138.95,77.0,94,75,26.4,JP,1593565982
134,marrakesh,31.63,-8.01,78.8,50,0,5.82,MA,1593565982
135,henties bay,-22.12,14.28,69.01,24,0,1.01,NA,1593565982
136,bontang,0.13,117.5,79.95,83,1,2.89,ID,1593565888
137,asau,46.43,26.4,57.99,89,5,4.14,RO,1593565955
138,kampene,-3.6,26.67,69.49,87,94,1.86,CD,1593565983
139,kachiry,53.07,76.1,71.47,58,67,7.4,KZ,1593565944
140,bintulu,3.17,113.03,78.8,94,20,5.82,MY,1593565983
141,kharp,66.8,65.81,45.3,65,0,5.08,RU,1593565983
142,hamilton,39.18,-84.53,79.0,83,40,1.99,US,1593565936
143,kalmunai,7.42,81.82,80.26,76,72,9.15,LK,1593565983
144,bahia blanca,-38.72,-62.27,45.07,86,100,4.68,AR,1593565755
145,alihe,50.57,123.72,82.51,32,0,3.96,CN,1593565984
146,pilar,-9.6,-35.96,71.6,88,75,5.82,BR,1593565984
147,pedro carbo,-1.83,-80.23,77.0,78,75,12.75,EC,1593565984
148,stornoway,58.21,-6.39,52.0,93,100,17.22,GB,1593565967
149,saint-francois,46.42,3.91,60.8,82,0,0.54,FR,1593565984
150,teya,60.38,92.63,70.03,54,91,1.03,RU,1593565984
151,lata,40.16,-8.33,64.99,90,100,7.0,PT,1593565984
152,vardo,70.37,31.11,45.63,96,100,14.5,NO,1593565672
153,melbu,68.5,14.83,44.6,93,75,7.81,NO,1593565984
154,namatanai,-3.67,152.43,85.01,67,80,6.53,PG,1593565985
155,kaabong,3.48,34.15,65.48,57,94,3.13,UG,1593565985
156,mbandaka,0.05,18.26,69.71,97,100,2.17,CD,1593565985
157,severo-kurilsk,50.68,156.12,51.82,68,0,10.33,RU,1593565907
158,upernavik,72.79,-56.15,39.33,74,3,11.39,GL,1593565927
159,santa rosa,14.31,121.11,90.0,62,100,3.36,PH,1593565985
160,yankton,42.87,-97.4,82.4,78,90,8.05,US,1593565985
161,khatanga,71.97,102.5,73.53,46,17,2.01,RU,1593565941
162,iqaluit,63.75,-68.51,41.0,80,40,3.36,CA,1593565911
163,yulara,-25.24,130.99,53.6,34,80,4.7,AU,1593565921
164,mar del plata,-38.0,-57.56,50.0,81,75,18.34,AR,1593565933
165,yangjiang,21.85,111.97,84.56,77,100,2.84,CN,1593565986
166,fare,-16.7,-151.02,78.51,71,2,23.85,PF,1593565956
167,port-gentil,-0.72,8.78,73.27,82,2,7.38,GA,1593565986
168,artyom,40.47,50.33,69.8,94,100,5.28,AZ,1593565986
169,goma,-1.68,29.22,61.79,68,72,3.04,CD,1593565986
170,kodiak,57.79,-152.41,57.2,71,1,4.7,US,1593565914
171,kampot,10.62,104.18,80.6,83,40,3.36,KH,1593565986
172,ust-charyshskaya pristan,52.39,83.66,64.22,81,100,4.54,RU,1593565986
173,saint anthony,45.02,-93.22,86.0,62,75,14.99,US,1593565987
174,wajir,1.75,40.06,75.6,71,100,16.35,KE,1593565988
175,balabac,7.99,117.06,84.36,76,1,10.94,PH,1593565954
176,uarini,-2.99,-65.11,74.53,95,98,1.57,BR,1593565988
177,agirish,61.92,63.02,46.53,69,99,3.6,RU,1593565988
178,hambantota,6.12,81.12,77.0,100,75,5.82,LK,1593565988
179,dunedin,-45.87,170.5,45.0,81,100,1.99,NZ,1593565935
180,batagay-alyta,67.8,130.41,75.69,38,0,10.22,RU,1593565989
